ชื่อมงคล,ความหมาย
กมลฌาน,ผู้มีใจสงบลึกซึ้งในสมาธิ
กมลณพัฒน์,"กมล (ใจ, ดอกบัว) + ณ (ความรู้, ปัญญา) + พัฒน์ (ความเจริญ) = ผู้มีใจเปี่ยมด้วยความรู้และความเจริญรุ่งเรือง"
กมลณัฐชน์,"กมล (ใจ, ดอกบัว) + ณัฐ (นักปราชญ์, ผู้ฉลาด) + ชน์ (ความรู้, ปัญญา) = ผู้มีใจเป็นนักปราชญ์ผู้เปี่ยมด้วยปัญญารอบรู้"
กมลธรรม,ผู้มีธรรมะประจำใจ
กมลนัท,ผู้มีใจงามและเปี่ยมความรู้
กมลนัทธ์,ผู้มีใจงามและผูกพันกับปัญญา
กมลนันท์,ผู้มีใจงามและเปี่ยมความยินดี
กมลนิษฐ์,ผู้มีใจงามและมั่นคงในความดี
กมลภ,ผู้เกิดจากดวงใจอันงดงาม
กมลภัค,ผู้มีใจงามและมีโชค
กมลภัทร,ผู้มีใจงามและเจริญเป็นมงคล
กมลรส,ผู้มีรสแห่งจิตใจอ่อนหวานงดงาม
กมลโรจน์,ผู้มีใจงามและรุ่งเรืองสว่างไสว
กมลลักษณ์,"กมล (ใจ, ดอกบัว) + ลักษณ์ (ลักษณะ, ความงาม) = ผู้มีลักษณะงดงามดุจดอกบัว หรือ ผู้มีใจงดงาม"
กมลโลจน์,กมล (ดอกบัว) + โลจน์ (ตา) = ผู้มีดวงตางดงามดุจดอกบัว
กมลวร,ผู้มีดวงใจอันประเสริฐ
กมลวรรณ,ผู้มีใจงามและผิวพรรณผ่องใส
กมลวัทน์,ผู้มีใจงามและเจริญมั่นคง
กมลวัน,ผู้มีใจงามดุจดอกบัวในวันอันเป็นมงคล
กมลวิช,ผู้มีใจงามและเปี่ยมความรู้
กมลวิชญ์,นักปราชญ์ผู้มีดวงใจงดงาม
กมลวิทน์,ผู้รู้แจ้งด้วยจิตใจงดงาม
กมลอร,หญิงงามผู้มีจิตใจอ่อนโยน
กมลา,ดอกบัว หญิงผู้มีความงามบริสุทธิ์
กมลาฉันท์,ผู้เป็นที่รักและงดงามดุจดอกบัว
กมลานันท์,หญิงงามดุจดอกบัวผู้เปี่ยมความยินดี
กมิน,
กร,มือ ผู้กระทำและสร้างสรรค์ความสำเร็จ
กรกฎ,ชื่อราศีกรกฎ ผู้มีความหนักแน่นและอ่อนไหวอย่างสมดุล
กรกฏ,รูปเขียนอีกแบบของกรกฎ หมายถึงผู้มีความหนักแน่นและอ่อนไหวอย่างสมดุล
กรกนก,มือทอง ผู้สร้างสรรค์สิ่งล้ำค่า
กรกมล,ผู้สร้างสรรค์ด้วยดวงใจงดงาม
กรกร,ผู้มีมือแห่งการกระทำและความสามารถ
กรกวรรษ,กรก (หม้อน้ำ) + วรรษ (ฝน) = ฝนจากหม้อน้ำอันนำมาซึ่งความอุดมสมบูรณ์
กรกษิณ,ผู้กระทำด้วยความชำนาญและความมั่นคง
กรกัญญ์ญา,หญิงผู้เป็นที่รักและเปี่ยมความสามารถ
กรกัญญา,หญิงงามผู้สร้างสรรค์สิ่งดีงาม
กรคมกร,ผู้มีฝีมือเฉียบคมและเปี่ยมความสามารถ
กรจันทร์,ผู้สร้างความงามเย็นใจดุจแสงจันทร์
กรชวัล,ผู้เปล่งประกายด้วยความสามารถ
กรไชย,ผู้กระทำการสำเร็จและมีชัยชนะ
กรญาณ์,"กร (มือ, การกระทำ) + ญาณ์ (ความรู้, ปัญญา) = ผู้สร้างสรรค์ความรู้ด้วยมือ หรือ ผู้มีปัญญาเป็นเครื่องมือ"
กรณ์,"กรณ์ (การกระทำ, เครื่องมือ) = ผู้สร้างสรรค์ หรือ ผู้กระทำสิ่งที่ดี"
กรณ์กมล,ผู้มีการกระทำอันเกิดจากใจงาม
กรณ์ชวัล,ผู้มีการกระทำอันรุ่งเรืองเปล่งประกาย
กรณ์ทักษ์,ผู้ชำนาญการและมีความสามารถ
กรณ์ธนนินต์,ผู้สร้างความมั่งคั่งและเป็นที่ยินดี
กรณ์ธนนินทร์,ผู้เป็นใหญ่ในการสร้างความมั่งคั่ง
กรณภัทร์,ผู้ทำสิ่งดีงามและเป็นมงคล
กรณ์ภัสร์,ผู้มีการกระทำอันสว่างไสว
กรณัฏฐ์,นักปราชญ์ผู้กระทำสิ่งดีงาม
กรณิช,ผู้มีการกระทำอันบริสุทธิ์และงดงาม
กรณินทร์,ผู้เป็นใหญ่ในการกระทำความดี
กรณิศ,ผู้เป็นใหญ่ด้วยการกระทำอันดีงาม
กรดล,ผู้บันดาลความสำเร็จด้วยการกระทำ
กรดา,"กร (มือ, การกระทำ) + ดา (ให้, สร้างขึ้น) = ผู้ที่ถูกสร้างสรรค์ขึ้น หรือ ผู้มีมืออันประเสริฐ"
กรทักษ์,"กร (มือ) + ทักษ์ (ฉลาด, คล่องแคล่ว, มีความสามารถ) = ผู้มีมือที่คล่องแคล่วว่องไว หรือ ผู้มีความสามารถ"
กรทัช,ผู้มีมืออันเปี่ยมพลังและความสามารถ
กรธน,ผู้สร้างทรัพย์และคุณค่า
กรธนัช,ผู้เกิดมาเพื่อสร้างความมั่งคั่ง
กรธรรศ,ผู้เห็นธรรมและกระทำด้วยปัญญา
กรธวัช,ผู้ชูธงแห่งความสามารถและเกียรติยศ
กรธัช,"กร (มือ) + ธัช (ธง, เครื่องหมายแห่งชัยชนะ) = ผู้เป็นธงชัยแห่งความสำเร็จด้วยสองมือ"
กรนันท์,ผู้สร้างความยินดีและความสุข
กรนาวา,ผู้เป็นดุจเรือที่นำพาชีวิตไปสู่ความสำเร็จ
กรภัค,"กร (มือ) + ภัค (โชค, ความรุ่งเรือง) = ผู้สร้างโชคลาภและความรุ่งเรืองด้วยมือ"
กรภัทร,ผู้สร้างสิ่งอันเป็นมงคลและความเจริญ
กรภัทร์,"กร (มือ) + ภัทร์ (ดี, เจริญ, ประเสริฐ) = ผู้สร้างสิ่งอันเป็นมงคลด้วยมือ หรือ ผู้มีมืออันประเสริฐ"
กรภา,"กร (มือ) + ภา (แสงสว่าง, ความรุ่งโรจน์) = ผู้สร้างแสงสว่างและความรุ่งโรจน์ด้วยมือ"
กรมน,ผู้มีใจมุ่งมั่นในการกระทำความดี
กรมล,ผู้สร้างสรรค์ด้วยใจอันงดงาม
กรรจกร,ผู้มีมือแห่งการสร้างสรรค์และความสามารถ
กรรฐา,ผู้ตั้งมั่นอยู่ในความดีงาม
กรรณ,หู ผู้รับฟังอย่างมีปัญญา
กรรณิมา,ผู้มีความงามและความอ่อนโยนในการรับฟัง
กรรพ,"กรร (มือ, การกระทำ) + พ (พร, ความดีงาม, การสร้าง) = ผู้มีมือแห่งพร หรือ ผู้สร้างสรรค์สิ่งดีงาม"
กรรัตน์,"กรร (มือ, ผู้สร้าง) + รัตน์ (แก้ว, ของมีค่า) = ผู้มีค่าดุจแก้วรัตนะ หรือ ผู้สร้างสรรค์สิ่งอันมีค่า"
กรรัตนา,"กรร (มือ, ผู้สร้าง) + รัตนา (แก้ว, ของมีค่า) = ผู้มีค่าดุจแก้วรัตนะ หรือ ผู้สร้างสรรค์สิ่งอันมีค่า"
กรรินี,"กรรินี (ช้างพัง, ช้างตัวเมีย) = ช้างพัง (ช้างตัวเมีย) อันหมายถึงความสง่างามและความแข็งแกร่ง"
กรเรศ,"กร (มือ) + เรศ (ผู้เป็นใหญ่, ประเสริฐ) = ผู้เป็นใหญ่ด้วยมือ หรือ ผู้สร้างสรรค์สิ่งอันเป็นเลิศ"
กรลักษ์,ผู้มีลักษณะงดงามจากการกระทำ
กรลักษณ์,ผู้มีลักษณะงดงามและเปี่ยมความสามารถ
กรวร,"กร (มือ, ผู้สร้าง) + วร (ประเสริฐ, ดีเลิศ) = ผู้มีมืออันประเสริฐ หรือ ผู้สร้างสรรค์สิ่งอันดีเลิศ"
กรวรรณ,"กร (มือ) + วรรณ (ผิว, สี, ความงดงาม) = ผู้มีมืออันงดงาม หรือ ผู้สร้างสรรค์ความดีงาม"
กรวรา,"กร (มือ, การกระทำ) + วรา (ยอดเยี่ยม, ประเสริฐ) = ผู้มีมืออันประเสริฐ, ผู้มีการกระทำที่ยอดเยี่ยม"
กรวัชร,ผู้มีฝีมือมั่นคงแข็งแกร่งดุจเพชร
กรวัลลี,ผู้มีความอ่อนช้อยงดงามดุจเถาวัลย์
กรวิก,ผู้มีเสียงไพเราะและความสามารถโดดเด่น
กรวิช,ผู้มีความรู้และความสามารถในการกระทำ
กรวิชญ์,"กร (การกระทำ) + วิชญ์ (ความรู้, ผู้รู้) = ผู้มีความรู้ความสามารถในการกระทำ, ผู้เชี่ยวชาญในกิจการ"
กรวินท์,ผู้มีชัยชนะด้วยฝีมือและปัญญา
กรวิมล,ผู้มีการกระทำบริสุทธิ์งดงาม
กรวุฒิ,"กร (การกระทำ) + วุฒิ (ความเจริญ, ความงอกงาม) = ผู้มีความเจริญในการกระทำ, ผู้ที่การกระทำนำมาซึ่งความเจริญ"
กรศิริ,ผู้สร้างความเป็นสิริมงคล
กรศิลป์,ผู้มีฝีมือทางศิลปะและการสร้างสรรค์
กรสิริ,ผู้กระทำสิ่งอันเป็นสิริมงคล
กรองขวัญ,ผู้คัดสรรสิ่งดีงามเป็นขวัญแห่งชีวิต
กรองคำ,ผู้คัดสรรคุณค่าประเสริฐดุจทองคำ
กรอร,"กร (มือ, การกระทำ) + อร (งาม, งดงาม) = ผู้มีมือที่งดงาม, ผู้มีการกระทำที่สวยงาม"
กรอรุณ,ผู้สร้างความรุ่งเรืองดุจแสงอรุณ
กรอัครินทร์,ผู้เป็นใหญ่ยอดเยี่ยมด้วยความสามารถ
กรอุมา,ผู้สร้างความงามสง่าและความอ่อนโยน
กระโด,ผู้มีความคล่องแคล่วและความโดดเด่น
กระแต,สัตว์เล็กชนิดหนึ่ง คล่องแคล่วและว่องไว
กระถิน,ไม้พุ่มชนิดหนึ่ง ให้ความหมายถึงความเรียบง่ายและงอกงาม
กระบิล,ผู้มีความคล่องแคล่วและความละมุน
กระมล,ผู้มีดวงใจงดงาม
กระวิน,ผู้มีชัยชนะจากความสามารถ
กรัญญ์กรณ์,ผู้มีความรู้และการกระทำอันประเสริฐ
กรัณฑ์,ผอบหรือภาชนะอันประณีต สื่อถึงผู้เก็บรักษาสิ่งล้ำค่า
กราน,ผู้หนักแน่นและอดทนต่อสิ่งยาก
กริช,มีดสองคมอันคมกล้า สื่อถึงความกล้าหาญเฉียบคม
กริณา,ผู้มีเมตตาและความกรุณา
กริน,ผู้กล้าหาญและเคลื่อนไหวอย่างองอาจ
กรินท์,ผู้เป็นใหญ่ด้วยความกล้าหาญ
กรินทร์,ผู้เป็นใหญ่ด้วยอำนาจและความสามารถ
กริมา,ผู้มีความงามและน้ำหนักแห่งคุณค่า
กริษฐ์,ผู้ประเสริฐและน่ายกย่อง
กริษฐา,หญิงผู้ประเสริฐและน่ายกย่อง
กรุณา,ความเมตตาสงสารและความเอื้ออารี
กรูวาน,ผู้เปี่ยมด้วยผู้เกื้อหนุน
กฤชนันท์,"กฤช (มาจาก กฤษณะ = พระกฤษณะ; โดยนัยคือผู้มีเสน่ห์, ผู้ประทานความสุข) + นันท์ (ความยินดี, ความสุข) = ผู้สร้างความสุขและความยินดี, ผู้มีความสุขและเสน่ห์"
กฤตนัน,"กฤต (ทำแล้ว, สำเร็จแล้ว) + นัน (ย่อมาจาก นันท์ = ความยินดี, ความสุข) = ผู้สร้างความสุขและความสำเร็จ, ผู้มีความยินดีในความสำเร็จ"
กฤตนันท์,"กฤต (ทำแล้ว, สำเร็จแล้ว) + นันท์ (ความยินดี, ความสุข) = ผู้สร้างความสุขและความสำเร็จ, ผู้มีความยินดีในความสำเร็จ"
กฤตยา,"กฤต (ทำแล้ว, สร้างแล้ว, สำเร็จแล้ว) + ยา (ปัจจัยเพศหญิง/ผู้กระทำ) = ผู้สร้าง, ผู้กระทำ, ความสำเร็จที่ถูกสร้างขึ้น"
กฤติน,"กฤติ (การกระทำ, ผลงาน) + อิน (ผู้เป็นเจ้าของ, ผู้มี) = ผู้มีการกระทำ, ผู้มีผลงาน, ผู้สร้างสรรค์"
กฤษ,"กฤษ (มาจาก กฤษณะ = สีดำ, พระกฤษณะ; โดยนัยคือผู้มีเสน่ห์ลุ่มลึก, ผู้สุขุม, ผู้มีความสามารถพิเศษ) = ผู้มีเสน่ห์ลุ่มลึก, ผู้สุขุม, ผู้มีความสามารถพิเศษ"
กฤษฎาพร,"กฤษฎา (ทำแล้ว, สร้างแล้ว, สำเร็จแล้ว) + พร (สิ่งประเสริฐ, คำอวยพร) = ผู้สร้างสิ่งประเสริฐ, พรที่ถูกสร้างขึ้น, พรที่สำเร็จแล้ว"
กฤษณะ,"กฤษณะ (สีดำ, สีน้ำเงินเข้ม; ชื่อเทพเจ้าในศาสนาฮินดู) = ผู้มีเสน่ห์ลุ่มลึก, ผู้ทรงอำนาจ (เปรียบดังพระกฤษณะ)"
กลวัชร,ผู้แข็งแกร่งดุจเพชรและมีชั้นเชิง
กลวัชร์,ผู้มีชั้นเชิงและความมั่นคงดุจเพชร
กลวิชร,ผู้มีความรู้และชั้นเชิงอันแยบคาย
กลิ่นดอน,กลิ่นหอมจากถิ่นดอน สื่อถึงเสน่ห์ธรรมชาติ
กลิ่นหอม,ผู้มีเสน่ห์น่าประทับใจดุจกลิ่นหอม
กวาธร,"กวา (มาจาก กวิ = ผู้รอบรู้, นักปราชญ์) + ธร (ผู้ทรงไว้) = ผู้ทรงไว้ซึ่งความเป็นนักปราชญ์, ผู้ทรงภูมิปัญญา"
กวิณ,
กวิณัฐ,นักปราชญ์ผู้มีปัญญาแห่งกวี
กวิน,"กวิน (ผู้ฉลาด, นักปราชญ์, กวี) = ผู้ฉลาด, นักปราชญ์, กวี"
กวินกร,ผู้สร้างสรรค์ถ้อยคำและปัญญาอย่างกวี
กวินดา,"กวิน (ผู้ฉลาด, นักปราชญ์) + ดา (ปัจจัยเพศหญิง/ผู้ให้) = หญิงผู้ฉลาด, หญิงผู้ทรงภูมิปัญญา"
กวินท์,"กวินท์ (มาจาก กวิ + อินทร์ = ผู้เป็นใหญ่ในหมู่นักปราชญ์) = ผู้เป็นใหญ่ในหมู่นักปราชญ์, กวีเอก, ผู้มีความรู้เป็นเลิศ"
กวินท์ธร,"กวินท์ (ผู้เป็นใหญ่ในหมู่นักปราชญ์, กวีเอก) + ธร (ผู้ทรงไว้) = ผู้ทรงไว้ซึ่งความเป็นผู้เป็นใหญ่ในหมู่นักปราชญ์, ผู้ทรงความรู้เป็นเลิศ"
กวินทร์,ผู้เป็นใหญ่ในหมู่กวีหรือผู้มีปัญญา
กวินทรา,ผู้สูงส่งด้วยปัญญาและวาทศิลป์
กวินธร,"กวิน (ผู้ฉลาด, นักปราชญ์) + ธร (ผู้ทรงไว้) = ผู้ทรงไว้ซึ่งความฉลาด, ผู้ทรงภูมิปัญญา"
กวินนท์,"กวิน (ผู้ฉลาด, นักปราชญ์) + นนท์ (ความยินดี, ความสุข) = ผู้มีความสุขในการเป็นนักปราชญ์, ผู้สร้างความยินดีด้วยปัญญา"
กวินนา,หญิงผู้มีปัญญาและวาทศิลป์งดงาม
กวินนาฏ,ผู้มีศิลปะงดงามและปัญญาแบบกวี
กวินภัค,ผู้มีปัญญาและโชคอันดี
กวินภัทร,"กวิน (ผู้ฉลาด, นักปราชญ์) + ภัทร (ดี, งาม, ประเสริฐ) = นักปราชญ์ผู้ดีงาม, ผู้ฉลาดและเจริญ"
กวินภา,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + ภา (แสงสว่าง, รัศมี) = ผู้มีความฉลาดและเป็นเลิศดุจแสงสว่าง"
กวินรพ,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + รพ (เสียง, ความมีชื่อเสียง) = ผู้มีชื่อเสียงอันไพเราะและเป็นเลิศ"
กวินรัตน์,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + รัตน์ (แก้ว, ของมีค่า) = ผู้เป็นแก้วอันประเสริฐและเฉลียวฉลาด"
กวินรัตนา,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + รัตนา (แก้ว, ของมีค่า) = ผู้เป็นแก้วอันประเสริฐและเฉลียวฉลาด"
กวินรินี,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + รินี (ผู้หญิง, ผู้มีคุณงามความดีไหลริน) = หญิงผู้มีคุณงามความดีและเฉลียวฉลาดเป็นเลิศ"
กวินเรศ,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + เรศ (ผู้เป็นใหญ่, ผู้เป็นเจ้า) = ผู้เป็นใหญ่หรือผู้เป็นยอดด้วยความดีงามและความเฉลียวฉลาด"
กวินวร,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + วร (ประเสริฐ, ดีเยี่ยม) = ผู้เป็นเลิศและประเสริฐด้วยความดีงามและความเฉลียวฉลาด"
กวินวรรณ,ผู้มีวาจาและวรรณะงดงามอย่างกวี
กวินวรา,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + วรา (ประเสริฐ, ดีเยี่ยม) = หญิงผู้เป็นเลิศและประเสริฐด้วยความดีงามและความเฉลียวฉลาด"
กวินวัจน์,ผู้มีถ้อยคำคมคายและงดงาม
กวินวัชร์,ผู้มีปัญญาแข็งแกร่งดุจเพชร
กวินวิชญ์,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + วิชญ์ (ผู้รู้, ผู้มีปัญญา) = ผู้เป็นเลิศและยอดเยี่ยมด้วยความรู้และปัญญา"
กวินวุฒิ,"กวิน (ผู้ยอดเยี่ยม, ผู้ฉลาด) + วุฒิ (ความเจริญ, ปัญญา) = ผู้มีความเจริญรุ่งเรืองและปัญญาเป็นเลิศ"
กวินอร,หญิงงามผู้เปี่ยมปัญญาและวาทศิลป์
กวิสรา,ผู้เป็นใหญ่ด้วยปัญญาและศิลปะแห่งถ้อยคำ
กษม,ความเกษม ความสุขสงบและความปลอดภัย
กษมน,ผู้มีใจเป็นสุขสงบและปลอดภัย
กษมล,ผู้มีความสุขสงบและจิตใจผ่องใส
กษมา,ความอดทน การให้อภัย และความสงบงาม
กษิกร,ชาวนา หรือผู้สร้างความอุดมสมบูรณ์จากผืนดิน
กษิดิฐ,ผู้มีความเห็นมั่นคงและถูกต้อง
กษิดินทร์,ผู้เป็นใหญ่แห่งผืนดินหรือความมั่นคง
กษิดิศ,ผู้มีทิศทางมั่นคงและเจริญงอกงาม
กษิน,ผู้มีความสิ้นสุดแห่งกิเลส หรือผู้สงบในธรรม
กษิรวิชญ์,นักปราชญ์ผู้บริสุทธิ์ดุจน้ำนม
กษิรา,กษีร (น้ำนม) + อา (คำท้ายแสดงนาม) = ผู้บริสุทธิ์ผุดผ่องดุจน้ำนม หรือ ผู้เป็นมิ่งขวัญอันอุดมสมบูรณ์
กหิน,
กอง,หมู่หรือสิ่งที่รวมกันเป็นกำลัง
ก้องกิตติ,ผู้มีชื่อเสียงดีงามก้องไกล
ก้องเกียรติ,ผู้มีเกียรติยศเลื่องลือ
กองคำ,ขุมทรัพย์ทองคำหรือผู้มั่งคั่งด้วยคุณค่า
ก้องณรงค์,ผู้กล้าหาญและมีชื่อเสียงในการต่อสู้
ก้องเดช,ผู้มีอำนาจบารมีเลื่องลือ
ก้องภพ,ผู้มีชื่อเสียงก้องไปทั่วโลก
กอตอ,ผู้เปี่ยมด้วยรากฐาน
กอบกุล,ผู้รักษาและเพิ่มพูนเกียรติแห่งตระกูล
กอบคุณ,"กอ (แหล่งรวม, รากฐาน) + คุณ (คุณงามความดี) = ผู้เป็นแหล่งรวมแห่งคุณงามความดี หรือ ผู้มีคุณความดีเป็นรากฐาน"
กอบชน,ผู้เกื้อกูลผู้คนและสังคม
กอบชวาล,ผู้รวบรวมความรุ่งเรืองสว่างไสว
กอบชัย,ผู้คว้าชัยชนะและความสำเร็จ
กอบโชค,ผู้มีโชคและได้รับสิ่งดีงาม
กอบธนัช,ผู้เกิดมาเพื่อสะสมทรัพย์และคุณค่า
กอบธรรม,ผู้รักษาธรรมและความถูกต้อง
กอบพงษ์,ผู้ส่งเสริมวงศ์ตระกูลให้เจริญ
กอบยศ,ผู้สร้างเกียรติยศให้มั่นคง
กอบลาภ,ผู้มีลาภผลและความอุดมสมบูรณ์
กอบวริทธิ์,ผู้สะสมความสำเร็จอันประเสริฐ
กอบศักดิ์,ผู้รักษาเกียรติศักดิ์และอำนาจ
กอบสิน,ผู้สะสมทรัพย์สินและคุณค่า
กอยบุญ,ผู้สะสมบุญและความดี
กอลาภ,ผู้มีลาภผลและความสำเร็จ
กอสิน,ผู้มีรากฐานแห่งทรัพย์สินและคุณค่า
กะจิ,ผู้เปี่ยมด้วยความกล้าเริ่มต้น
กะทิ,น้ำคั้นจากมะพร้าว สื่อถึงความนุ่มละมุนและอุดมสมบูรณ์
กังวาน,กังวาน (เสียงที่ก้องกังวานไปไกล) = ผู้มีชื่อเสียงขจรขจายไปไกล หรือ ผู้มีเสียงอันไพเราะกังวาน
