ชื่อ,คำอ่าน,ความหมาย
กมลณัฐชน์,กะ-มะ-ละ-ชัด,ผู้มีใจเป็นนักปราชญ์ผู้เปี่ยมด้วยปัญญารอบรู้
กมลธรรม,กะ-มน-ทำ,ผู้มีธรรมะประจำใจ
กมลนัท,กะ-มน-ละ-นัด,ผู้มีใจงามและเปี่ยมความรู้
กมลนัทธ์,กะ-มน-นัด,ผู้มีใจงามและผูกพันกับปัญญา
กมลนันท์,กะ-มน-ละ-นัน,ผู้มีใจงามและเปี่ยมความยินดี
กมลนิษฐ์,กะ-มน-นิด,ผู้มีใจงามและมั่นคงในความดี
กมลภ,กะ-มน-พบ,ผู้เกิดจากดวงใจอันงดงาม
กมลภัค,กะ-มน-พัก,ผู้มีใจงามและมีโชค
กมลภัทร,กะ-มน-พัด-ทรอ,ผู้มีใจงามและเจริญเป็นมงคล
กมลรส,กะ-มน-รด,ผู้มีรสแห่งจิตใจอ่อนหวานงดงาม
กมลโรจน์,กะ-มน-โรด,ผู้มีใจงามและรุ่งเรืองสว่างไสว
กมลลักษณ์,กะ-มน-ลัก,ผู้มีความบริสุทธิ์และความงดงาม
กมลโลจน์,กะ-มน-โลด,ผู้มีดวงตางดงามดุจดอกบัว
กมลวร,กะ-มน-ละ-วอน,ผู้มีดวงใจอันประเสริฐ
กมลวรรณ,กะ-มน-วัน,ผู้มีใจงามและผิวพรรณผ่องใส
กมลวัทน์,กะ-มน-วัด,ผู้มีใจงามและเจริญมั่นคง
กมลวัน,กะ-มน-วัน,ผู้มีความบริสุทธิ์และสิริมงคล
กมลวิช,กะ-มน-วิด,ผู้มีใจงามและเปี่ยมความรู้
กมลวิชญ์,กะ-มน-วิด,นักปราชญ์ผู้มีดวงใจงดงาม
กมลวิทน์,กะ-มน-วิด,ผู้รู้แจ้งด้วยจิตใจงดงาม
กมลอร,กะ-มน-ออน,หญิงงามผู้มีจิตใจอ่อนโยน
กมลา,กะ-มะ-ลา,ดอกบัว หญิงผู้มีความงามบริสุทธิ์
กมลาฉันท์,กะ-มะ-ลา-ฉัน,ผู้เป็นที่รักและงดงามดุจดอกบัว
กมลานันท์,กะ-มะ-ลา-นัน,หญิงงามดุจดอกบัวผู้เปี่ยมความยินดี
กมิน,กะ-มิน,ผู้มีความเมตตา
กร,กอน,มือ ผู้กระทำและสร้างสรรค์ความสำเร็จ
กรกฎ,กอ-ระ-กด,ชื่อราศีกรกฎ ผู้มีความหนักแน่นและอ่อนไหวอย่างสมดุล
กรกฏ,กอ-ระ-กด,รูปเขียนอีกแบบของกรกฎ หมายถึงผู้มีความหนักแน่นและอ่อนไหวอ…
กรกนก,กอน-กะ-หนก,มือทอง ผู้สร้างสรรค์สิ่งล้ำค่า
กรกมล,กอน-กะ-มน,ผู้สร้างสรรค์ด้วยดวงใจงดงาม
กรกร,กอน-กอน,ผู้มีมือแห่งการกระทำและความสามารถ
กรกวรรษ,กะ-หรก-วัด,ฝนจากหม้อน้ำอันนำมาซึ่งความอุดมสมบูรณ์
กรกษิณ,กอน-กะ-สิน,ผู้กระทำด้วยความชำนาญและความมั่นคง
กรกัญญ์ญา,กอน-กัน-ยา,หญิงผู้เป็นที่รักและเปี่ยมความสามารถ
กรกัญญา,กอน-กัน-ยา,หญิงงามผู้สร้างสรรค์สิ่งดีงาม
กรคมกร,กอน-คม-กอน,ผู้มีฝีมือเฉียบคมและเปี่ยมความสามารถ
กรจันทร์,กอน-จัน,ผู้สร้างความงามเย็นใจดุจแสงจันทร์
กรชวัล,กอน-ชะ-วัน,ผู้เปล่งประกายด้วยความสามารถ
กรไชย,กอน-ไช,ผู้กระทำการสำเร็จและมีชัยชนะ
กรญาณ์,กอน-ยา,ผู้มีความสร้างสรรค์ ความรู้ และปัญญา
กรณ์,กอน,ผู้สร้างสรรค์ หรือ ผู้กระทำสิ่งที่ดี
กรณ์กมล,กอน-กะ-มน,ผู้มีการกระทำอันเกิดจากใจงาม
กรณ์ชวัล,กอน-ชะ-วัน,ผู้มีการกระทำอันรุ่งเรืองเปล่งประกาย
กรณ์ทักษ์,กอน-ทัก,ผู้ชำนาญการและมีความสามารถ
กรณ์ธนนินต์,กอน-ทะ-นิน,ผู้สร้างความมั่งคั่งและเป็นที่ยินดี
กรณ์ธนนินทร์,กอน-ทะ-นิน,ผู้เป็นใหญ่ในการสร้างความมั่งคั่ง
กรณภัทร์,กอ-ระ-นะ-พัด,ผู้ทำสิ่งดีงามและเป็นมงคล
กรณ์ภัสร์,กอน-พัด,ผู้มีการกระทำอันสว่างไสว
กรณัฏฐ์,กอน-นัด,นักปราชญ์ผู้กระทำสิ่งดีงาม
กรณิช,กะ-ระ-นิด,ผู้มีการกระทำอันบริสุทธิ์และงดงาม
กรณินทร์,กะ-ระ-นิน,ผู้เป็นใหญ่ในการกระทำความดี
กรณิศ,กะ-ระ-นิด,ผู้เป็นใหญ่ด้วยการกระทำอันดีงาม
กรดล,กรด-ดน,ผู้บันดาลความสำเร็จด้วยการกระทำ
กรดา,กอ-ระ-ดา,ผู้มีความยินดี
กรทักษ์,กอน-ทัก,ผู้มีมือที่คล่องแคล่วว่องไว หรือ ผู้มีความสามารถ
กรทัช,กอ-ระ-ทัด,ผู้มีมืออันเปี่ยมพลังและความสามารถ
กรธน,กอน-ทะ-นะ,ผู้สร้างทรัพย์และคุณค่า
กรธนัช,กอน-ทะ-นัด,ผู้เกิดมาเพื่อสร้างความมั่งคั่ง
กรธรรศ,กอน-ทัด,ผู้เห็นธรรมและกระทำด้วยปัญญา
กรธวัช,กอน-ทะ-วัด,ผู้ชูธงแห่งความสามารถและเกียรติยศ
กรธัช,กอ-ระ-ทัด,ผู้เป็นธงชัยแห่งความสำเร็จด้วยสองมือ
กรนันท์,กอ-ระ-นัน,ผู้สร้างความยินดีและความสุข
กรนาวา,กอน-นา-วา,ผู้เป็นดุจเรือที่นำพาชีวิตไปสู่ความสำเร็จ
กรภัค,กอน-พัก,ผู้สร้างโชคลาภและความรุ่งเรืองด้วยมือ
กรภัทร,กอน-พัด-ทรอ,ผู้มีความสร้างสรรค์ ความเจริญ และสิริมงคล
กรภัทร์,กอน-พัด,ผู้มีความสร้างสรรค์และความดีงาม
กรภา,กอ-ระ-พา,ผู้มีความสร้างสรรค์และความสว่าง
กรมน,กอน-มน,ผู้มีใจมุ่งมั่นในการกระทำความดี
กรมล,กอน-มน,ผู้สร้างสรรค์ด้วยใจอันงดงาม
กรรจกร,กัน-จะ-กอน,ผู้มีมือแห่งการสร้างสรรค์และความสามารถ
กรรฐา,กอน-ระ-ถา,ผู้ตั้งมั่นอยู่ในความดีงาม
กรรณ,กัน,หู ผู้รับฟังอย่างมีปัญญา
กรรณิมา,กัน-นิ-มา,ผู้มีความงามและความอ่อนโยนในการรับฟัง
กรรพ,กับ,ผู้มีมือแห่งพร หรือ ผู้สร้างสรรค์สิ่งดีงาม
กรรัตน์,กอ-ระ-รัด,ผู้มีความสร้างสรรค์ คุณค่า และความงดงาม
กรรัตนา,กอน-รัด-ตะ-นา,ผู้มีค่าดุจแก้วรัตนะ หรือ ผู้สร้างสรรค์สิ่งอันมีค่า
กรรินี,กอน-นิ-ยี,ผู้มีความสร้างสรรค์
กรเรศ,กอ-ระ-เรด,ผู้มีความสร้างสรรค์ ความเป็นผู้นำ และความเป็นเลิศ
กรลักษ์,กอ-ระ-ลัก,ผู้มีลักษณะงดงามจากการกระทำ
กรลักษณ์,กอ-ระ-ลัก,ผู้มีลักษณะงดงามและเปี่ยมความสามารถ
กรวร,กอ-ระ-วอน,ผู้มีความสร้างสรรค์และความประเสริฐ
กรวรรณ,กอ-ระ-วัน,ผู้มีความสร้างสรรค์และความงดงาม
กรวรา,กอน-วะ-รา,ผู้มีความสร้างสรรค์และความประเสริฐ
กรวัชร,กอน-วัด,ผู้มีฝีมือมั่นคงแข็งแกร่งดุจเพชร
กรวัลลี,กอ-ระ-วัน,ผู้มีความอ่อนช้อยงดงามดุจเถาวัลย์
กรวิก,กะ-ระ-วิก,ผู้มีเสียงไพเราะและความสามารถโดดเด่น
กรวิช,กอ-ระ-วิด,ผู้มีความรู้และความสามารถในการกระทำ
กรวิชญ์,กอ-ระ-วิด,ผู้มีความสร้างสรรค์และความรู้
กรวินท์,กอ-ระ-วิน,ผู้มีชัยชนะด้วยฝีมือและปัญญา
กรวิมล,กะ-ระ-วิ-มน,ผู้มีการกระทำบริสุทธิ์งดงาม
กรวุฒิ,กอ-ระ-วุด,ผู้มีความเจริญ
กรศิริ,กอ-ระ-สิ-หริ,ผู้สร้างความเป็นสิริมงคล
กรศิลป์,กอน-สะ-ริ,ผู้มีฝีมือทางศิลปะและการสร้างสรรค์
กรสิริ,กอน-สิ-หริ,ผู้มีสิริมงคล
กรองขวัญ,กรอง-ขวัน,ผู้คัดสรรสิ่งดีงามเป็นขวัญแห่งชีวิต
กรองคำ,กรอง-คำ,ผู้คัดสรรคุณค่าประเสริฐดุจทองคำ
กรอร,กอน-ออน,ผู้มีการกระทำที่สวยงาม
กรอรุณ,กอน-อะ-รุน,ผู้สร้างความรุ่งเรืองดุจแสงอรุณ
กรอัครินทร์,กอน-อัก-คะ-ริน,ผู้เป็นใหญ่ยอดเยี่ยมด้วยความสามารถ
กรอุมา,กอน-อุ-มา,ผู้สร้างความงามสง่าและความอ่อนโยน
กระโด,กระ-โด,ผู้มีความคล่องแคล่วและความโดดเด่น
กระแต,กระ-แต,สัตว์เล็กชนิดหนึ่ง คล่องแคล่วและว่องไว
กระถิน,กระ-ถิน,ไม้พุ่มชนิดหนึ่ง ให้ความหมายถึงความเรียบง่ายและงอกงาม
กระบิล,กระ-บอน,ผู้มีความคล่องแคล่วและความละมุน
กระมล,กระ-มน,ผู้มีดวงใจงดงาม
กระวิน,กระ-วิน,ผู้มีชัยชนะจากความสามารถ
กรัญญ์กรณ์,กะ-รัน-กอน,ผู้มีความรู้และการกระทำอันประเสริฐ
กรัณฑ์,กะ-รัน,ผอบหรือภาชนะอันประณีต สื่อถึงผู้เก็บรักษาสิ่งล้ำค่า
กราน,กราน,ผู้หนักแน่นและอดทนต่อสิ่งยาก
กริช,กริด,มีดสองคมอันคมกล้า สื่อถึงความกล้าหาญเฉียบคม
กริณา,กะ-ริ-นา,ผู้มีเมตตาและความกรุณา
กริน,กะ-ริน,ผู้กล้าหาญและเคลื่อนไหวอย่างองอาจ
กรินท์,กะ-ริน,ผู้เป็นใหญ่ด้วยความกล้าหาญ
กรินทร์,กะ-ริน,ผู้เป็นใหญ่ด้วยอำนาจและความสามารถ
กริมา,กริ-มา,ผู้มีความงามและน้ำหนักแห่งคุณค่า
กริษฐ์,กะ-ริด,ผู้ประเสริฐและน่ายกย่อง
กริษฐา,กะ-ริด-ถา,หญิงผู้ประเสริฐและน่ายกย่อง
กรุณา,กะ-รุ-นา,ความเมตตาสงสารและความเอื้ออารี
กรูวาน,กรู-วาน,ผู้เปี่ยมด้วยผู้เกื้อหนุน
กฤชนันท์,กริด-ชะ-นัน,ผู้มีความสุขและเสน่ห์
กฤตนัน,กริด-ตะ-นัน,ผู้มีความยินดีในความสำเร็จ
กฤตนันท์,กริด-ตะ-นัน,ผู้มีความสำเร็จและความยินดี
กฤตยา,กริด-ตะ-ยา,ผู้กระทำ
กฤติน,กริด-ติน,ผู้สร้างสรรค์
กฤษ,กริด,ผู้มีความสามารถพิเศษ
กฤษฎาพร,กริด-สะ-ดา-พอน,ผู้สร้างสิ่งประเสริฐ
กฤษณะ,กริด-สะ-นะ,ผู้ทรงอำนาจ
กลวัชร,กน-ละ-วัด,ผู้แข็งแกร่งดุจเพชรและมีชั้นเชิง
กลวัชร์,กน-ละ-วัด,ผู้มีชั้นเชิงและความมั่นคงดุจเพชร
กลวิชร,กน-ละ-วิด,ผู้มีความรู้และชั้นเชิงอันแยบคาย
กลิ่นดอน,กลิ่น-ดอน,กลิ่นหอมจากถิ่นดอน สื่อถึงเสน่ห์ธรรมชาติ
กลิ่นหอม,กะ-ลิ่น-หอม,ผู้มีเสน่ห์น่าประทับใจดุจกลิ่นหอม
กวาธร,กะ-วา-ทอน,ผู้ทรงภูมิปัญญา
กวิณ,กะ-วิน,ผู้มีความสามารถและปัญญา
กวิณัฐ,กะ-วิ-นัด,นักปราชญ์ผู้มีปัญญาแห่งกวี
กวิน,กะ-วิน,ผู้ฉลาด
กวินกร,กะ-วิน-กอน,ผู้สร้างสรรค์ถ้อยคำและปัญญาอย่างกวี
กวินดา,กะ-วิน-ดา,หญิงผู้ทรงภูมิปัญญา
กวินท์,กะ-วิน,ผู้มีความก้าวหน้า
กวินท์ธร,กะ-วิน-ทอน,ผู้มีความก้าวหน้า
กวินทร์,กะ-วิน,ผู้เป็นใหญ่ในหมู่กวีหรือผู้มีปัญญา
กวินทรา,กะ-วิน-ทรา,ผู้สูงส่งด้วยปัญญาและวาทศิลป์
กวินธร,กะ-วิน-ทอน,ผู้มีความสามารถ
กวินนท์,กะ-วิน,ผู้สร้างความยินดีด้วยปัญญา
กวินนา,กะ-วิน-นา,หญิงผู้มีปัญญาและวาทศิลป์งดงาม
กวินนาฏ,กะ-วิน-นาด,ผู้มีศิลปะงดงามและปัญญาแบบกวี
กวินภัค,กะ-วิน-พัก,ผู้มีปัญญาและโชคอันดี
กวินภัทร,กะ-วิน-พัด-ทรอ,ผู้มีความสามารถและความดีงาม
กวินภา,กะ-วิน-พา,ผู้มีความสามารถและความสว่าง
กวินรพ,กะ-วิน-รบ,ผู้มีชื่อเสียงอันไพเราะและเป็นเลิศ
กวินรัตน์,กะ-วิน-รัด,ผู้มีความสามารถ คุณค่า และความงดงาม
กวินรัตนา,กะ-วิน-รัด-ตะ-นา,ผู้เป็นแก้วอันประเสริฐและเฉลียวฉลาด
กวินรินี,กะ-วิน-ริ-นี,ผู้มีความสามารถ
กวินเรศ,กะ-วิน-เรด,ผู้เป็นใหญ่หรือผู้เป็นยอดด้วยความดีงามและความเฉลียวฉลาด
กวินวร,กะ-วิน-วอน,ผู้มีความสามารถและความประเสริฐ
กวินวรรณ,กะ-วิน-วัน,ผู้มีวาจาและวรรณะงดงามอย่างกวี
กวินวรา,กะ-วิน-วะ-รา,ผู้มีความสามารถและความประเสริฐ
กวินวัจน์,กะ-วิน-วัด,ผู้มีถ้อยคำคมคายและงดงาม
กวินวัชร์,กะ-วิน-วัด,ผู้มีปัญญาแข็งแกร่งดุจเพชร
กวินวิชญ์,กะ-วิน-วิด,ผู้มีความสามารถและความรู้
กวินวุฒิ,กะ-วิน-วุด,ผู้มีความเจริญรุ่งเรืองและปัญญาเป็นเลิศ
กวินอร,กะ-วิน-ออน,หญิงงามผู้เปี่ยมปัญญาและวาทศิลป์
กวิสรา,กะ-วิ-สะ-รา,ผู้เป็นใหญ่ด้วยปัญญาและศิลปะแห่งถ้อยคำ
กษม,กะ-สม,ความเกษม ความสุขสงบและความปลอดภัย
กษมน,กะ-สะ-มน,ผู้มีใจเป็นสุขสงบและปลอดภัย
กษมล,กะ-สะ-มน,ผู้มีความสุขสงบและจิตใจผ่องใส
กษมา,กะ-สะ-มา,ความอดทน การให้อภัย และความสงบงาม
กษิกร,กะ-สิ-กอน,ชาวนา หรือผู้สร้างความอุดมสมบูรณ์จากผืนดิน
กษิดิฐ,กะ-สิ-ดิด,ผู้มีความเห็นมั่นคงและถูกต้อง
กษิดินทร์,กะ-สิ-ดิน,ผู้เป็นใหญ่แห่งผืนดินหรือความมั่นคง
กษิดิศ,กะ-สิ-ดิด,ผู้มีทิศทางมั่นคงและเจริญงอกงาม
กษิน,กะ-สิน,ผู้มีความสิ้นสุดแห่งกิเลส หรือผู้สงบในธรรม
กษิรวิชญ์,กะ-สิ-ระ-วิด,นักปราชญ์ผู้บริสุทธิ์ดุจน้ำนม
กษิรา,กะ-สิ-รา,ผู้มีความบริสุทธิ์
กหิน,กะ-หิน,ผู้มีความมั่นคง
กอง,กอง,หมู่หรือสิ่งที่รวมกันเป็นกำลัง
ก้องกิตติ,ก้อง-กิด-ติ,ผู้มีชื่อเสียงดีงามก้องไกล
ก้องเกียรติ,ก้อง-เกียด,ผู้มีเกียรติยศเลื่องลือ
กองคำ,กอง-คำ,ขุมทรัพย์ทองคำหรือผู้มั่งคั่งด้วยคุณค่า
ก้องณรงค์,ก้อน-มะ-รง,ผู้กล้าหาญและมีชื่อเสียงในการต่อสู้
ก้องเดช,ก้อง-เดด,ผู้มีอำนาจบารมีเลื่องลือ
ก้องภพ,ก้อง-พบ,ผู้มีชื่อเสียงก้องไปทั่วโลก
กอตอ,กอ-ตอ,ผู้เปี่ยมด้วยรากฐาน
กอบกุล,กอบ-กุน,ผู้รักษาและเพิ่มพูนเกียรติแห่งตระกูล
กอบคุณ,กอบ-คุน,ผู้มีความดีงาม
กอบชน,กอบ-ชน,ผู้เกื้อกูลผู้คนและสังคม
กอบชวาล,กอบ-ชะ-วาน,ผู้รวบรวมความรุ่งเรืองสว่างไสว
กอบชัย,กอบ-ไช,ผู้คว้าชัยชนะและความสำเร็จ
กอบโชค,กอบ-โชก,ผู้มีโชคและได้รับสิ่งดีงาม
กอบธนัช,กอบ-ทะ-นัด,ผู้เกิดมาเพื่อสะสมทรัพย์และคุณค่า
กอบธรรม,กอบ-ทำ,ผู้รักษาธรรมและความถูกต้อง
กอบพงษ์,กอบ-พง,ผู้ส่งเสริมวงศ์ตระกูลให้เจริญ
กอบยศ,กอบ-ยด,ผู้สร้างเกียรติยศให้มั่นคง
กอบลาภ,กอบ-ลาบ,ผู้มีลาภผลและความอุดมสมบูรณ์
กอบวริทธิ์,กอบ-วะ-ริด,ผู้สะสมความสำเร็จอันประเสริฐ
กอบศักดิ์,กอบ-สัก,ผู้รักษาเกียรติศักดิ์และอำนาจ
กอบสิน,กอบ-สิน,ผู้สะสมทรัพย์สินและคุณค่า
กอยบุญ,กอย-บุน,ผู้สะสมบุญและความดี
กอลาภ,กะ-ลา-พบ,ผู้มีลาภผลและความสำเร็จ
กอสิน,กอ-สิน,ผู้มีรากฐานแห่งทรัพย์สินและคุณค่า
กะจิ,กะ-จิ,ผู้เปี่ยมด้วยความกล้าเริ่มต้น
กะทิ,กะ-ทิ,น้ำคั้นจากมะพร้าว สื่อถึงความนุ่มละมุนและอุดมสมบูรณ์
กังวาน,กัง-วาน,ผู้มีชื่อเสียง
กัชชลา,กัด-ชะ-ลา,ผู้เกี่ยวข้องกับช้างหรือความสง่างามเข้มแข็ง
กัญจณ์ณลิน,กัน-นะ-ลิน,ดอกบัวทองคำ ผู้บริสุทธิ์งดงามและล้ำค่า
กัญจน์,กัน,ทองคำ ผู้มีคุณค่าและความรุ่งเรือง
กัญจน์กมล,กัน-กะ-มน,ผู้มีดวงใจล้ำค่าดุจทองคำ
กัญจน์ชญา,กัน-ชะ-ยา,ผู้รู้แจ้งอันล้ำค่าดุจทองคำ
กัญจน์ญภัส,กัน-ยะ-พัด,ผู้มีความสว่าง
กัญจน์ธนาหฤษฎ์,กัน-ทะ-นา-หะ-ริด,ผู้มีทรัพย์ทองและความยินดีอันรุ่งเรือง
กัญจน์นภัสรา,กัน-พัด-สะ-รา,ผู้เปล่งประกายทองงามบนฟากฟ้า
กัญจน์ภัส,กัน-พัด,ผู้สว่างไสวล้ำค่าดุจทองคำ
กัญจน์ภัสสร,กัน-พัด-สอน,ผู้เปล่งรัศมีงดงามดุจทอง
กัญจน์รัชต์,กัน-รัด,ผู้มั่งคั่งด้วยอำนาจและคุณค่าดุจทอง
กัญจน์วราห์,กัน-วะ-รา,ผู้ประเสริฐและล้ำค่าดุจทองคำ
กัญจน์วิมล,กัน-วิ-มน,ผู้บริสุทธิ์งดงามและล้ำค่าดุจทอง
กัญจน์สิรี,กัน-สิ-รี,ผู้มีสิริมงคลล้ำค่าดุจทอง
กัญจน์อมร,กัน-อะ-มอน,ผู้มีคุณค่ายั่งยืนดุจทองอมตะ
กัญจน์อมล,กัน-อะ-มน,ผู้มีความบริสุทธิ์และคุณค่า
กัญจนา,กัน-จะ-นา,ทองคำ หญิงผู้มีคุณค่างดงาม
กัญจภรณ์,กัน-จะ-พอน,ผู้ประดับด้วยทองหรือคุณค่าอันงดงาม
กัญจิรา,กัน-จิ-รา,ผู้มีคุณค่าดุจทองยั่งยืนนาน
กัญชรส,กัน-ชะ-รด,ผู้มีรสแห่งความงามล้ำค่า
กัญชลา,กัน-ชะ-ลา,ผู้มีคุณค่า ความละมุน และความอ่อนโยนสง่างาม
กัญชลิกา,กัน-ชะ-ลิ-กา,ผู้มีคุณค่า ความละมุน และความอ่อนโยนสง่างาม
กัญญ์กนิษฐ์,กัน-กะ-นิด,หญิงอ่อนเยาว์ผู้เป็นที่รักและน่าทะนุถนอม
กัญญ์ชญา,กัน-ชะ-ยา,หญิงสาวผู้มีความรู้และปัญญา
กัญญฌัช,กัน-ยะ-ชัด,หญิงผู้เกิดมาพร้อมความดีงาม
กัญญ์ฐญา,กัน-ถะ-ยา,หญิงผู้เปี่ยมความรู้และความมั่นคง
กัญญ์ณณัฏฐ์,กัน-นะ-นัด,หญิงผู้เปี่ยมปัญญาอันลึกซึ้ง
กัญญ์ณภัทร,กัน-นะ-พัด,ผู้มีสิริมงคล ความรู้ และปัญญา
กัญญ์ณภัส,กัน-นะ-พัด,หญิงงามผู้เจิดจรัส
กัญญ์ณรัณ,กัน-นะ-รัน,หญิงผู้กล้าหาญและมีปัญญา
กัญญ์ณัช,กัน-นัด,หญิงผู้เกิดมาพร้อมปัญญา
กัญญ์ณัฏฐ์,กัน-นัด,หญิงนักปราชญ์ผู้เปี่ยมปัญญา
กัญญณัฐ,กัน-ยะ-นัด,หญิงนักปราชญ์ผู้มีปัญญา
กัญญ์ณัฐ,กัน-นัด,หญิงนักปราชญ์ผู้เปี่ยมปัญญา
กัญญณิชา,กัน-ยะ-นิ-ชา,หญิงผู้มีความบริสุทธิ์และปัญญางาม
กัญญนก,กัน-ยะ-นก,ผู้มีความงดงามและความเป็นอิสระ
กัญญ์นภวรรณ,กัน-ยะ-พะ-วัน,หญิงสาวผู้มีผิวพรรณหรือความงามดุจสีท้องฟ้า
